,Link,Name,Description,Price
118,https://www.nike.com/pl/u/custom-phantom-academy-low-by-you-10001417/3873115631,Nike Phantom GX Academy MG By You,Personalizowane korki piłkarskie na różne typy nawierzchni,"529,99 zł"
119,https://www.nike.com/pl/t/buty-meskie-jordan-delta-3-low-3Mcgk5/DN2647-080,Jordan Delta 3 Low,Buty męskie,"394,97 zł649,99 złrabat 39%"
120,https://www.nike.com/pl/u/custom-nike-air-max-95-unlocked-by-you-10001343/4731320921,Nike Air Max 95 Unlocked By You,Personalizowane buty męskie,"1029,99 zł"
121,https://www.nike.com/pl/t/buty-meskie-air-penny-2-stussy-C3Cv0C/DX6933-300,Nike Air Penny 2 x Stüssy,Buty męskie,"929,99 zł"
122,https://www.nike.com/pl/t/korki-pilkarskie-miekka-murawe-gripknit-phantom-gx-elite-sg-pro-anti-clog-traction-4PCJ97/DD9443-010,Nike Gripknit Phantom GX Elite SG-Pro Anti-Clog Traction,Korki piłkarskie na miękką murawę,"1249,99 zł"
123,https://www.nike.com/pl/t/buty-meskie-air-max-flyknit-racer-40BDB5/FD2765-900,Nike Air Max Flyknit Racer,Buty męskie,"799,99 zł"
124,https://www.nike.com/pl/t/buty-meskie-air-max-systm-sFmN3l/DM9537-103,Nike Air Max SYSTM,Buty męskie,"499,99 zł"
125,https://www.nike.com/pl/t/kolce-do-sprintu-zoom-rival-987Ddm/DC8753-100,Nike Zoom Rival,Kolce do sprintu,"349,99 zł"
126,https://www.nike.com/pl/t/buty-pilkarskie-nawierzchnie-typu-zoom-mercurial-vapor-15-academy-tf-jCZ1f7/DJ5635-146,Nike Zoom Mercurial Vapor 15 Academy TF,Buty piłkarskie na nawierzchnię typu turf,"399,99 zł"
127,https://www.nike.com/pl/u/custom-nike-air-max-95-by-you-10001319/4491636087,Nike Air Max 95 By Sean Cosgrove,Męskie personalizowane buty,"929,99 zł"
128,https://www.nike.com/pl/t/meskie-buty-do-biegania-po-asfalcie-pegasus-39-rZmWzq/DH4071-009,Nike Pegasus 39,Męskie buty do biegania po asfalcie,"549,99 zł"
129,https://www.nike.com/pl/t/meskie-buty-do-biegania-po-asfalcie-renew-run-4-25sps1/DR2677-400,Nike Renew Run 4,Męskie buty do biegania po asfalcie,"449,99 zł"
130,https://www.nike.com/pl/t/buty-meskie-jordan-delta-3-mid-DhVCnZ/DR7614-060,Jordan Delta 3 Mid,Buty męskie,"354,97 zł699,99 złrabat 49%"
